,"I140 PP, 140/485 cc",Center,Type,"I-485
Received
 Date",Notice Date_FP,Walk-In?,Walk-in Office Location,"AP / EAD 
Approved 
Date",Days between RD and FP,Days between RD and AP/EAD ,"Finger
Print
Schedule
Day",FP Date,"485 
Approved
 Date","Green Card Received Date
","Days
between
 AP/EAD Day and
 485 AD Day","Days
between
 FP Day and
 485 AD Day","Days
 between
 RD and 
485 AD Day",I485 Pending day,Percentage of Cases Faster than Yours?,"--> Please sort by Receive date!
To New user, 
Please play with other sheet,
your changes are permanent!"
nnn2015,"PP, non cc ",tsc,eb1a,10/23/2015,10/31/2015,NO,,,,,11/16/2015,11/16/2015,12/7/2015,,,23,45,,13.80%,
schen17,"pp, nonCC",TSC,EB1A,10/26/2015,10/31/2015,Yes,"Nashville, TN",,11,,11/19/2015,11/6/2015,Blessing,,,,,52,,
ll,"pp, nonCC",TSC,EB1A,10/22/2015,N/A,,,,,,N/A,,Blessing,,,,,56,,
awesome2015,"PP, non cc",TSC,EB1B,10/13/2015,10/24/2015,NO,"San Antonio, TX",,29,,11/12/2015,11/12/2015,Blessing,,,,,65,,
Will,"PP, non cc",TSC,EB1A,10/13/2015,11/3/2015,NO,"Hartford, CT",,28,,11/10/2015,11/10/2015,Blessing,,,,,65,,
anonymous-bs,"pp, nonCC",TSC,EB1A,9/28/2015,10/12/2015,NO,"Boston, MA",,28,,10/26/2015,10/26/2015,Blessing,,,,,80,,
bookworm,"pp, non-cc",TSC,EB1A,9/24/2015,10/3/2015,no,"Boston, MA",,27,,10/21/2015,10/21/2015,Blessing,,,,,84,,
kevin,"PP, non-CC",TSC,EB1A,9/22/2015,9/30/2015,No,"Hartford, CT",,24,,10/16/2015,,Blessing,,,,,86,,
xf775,"PP, non-CC",TSC,EB1A,9/15/2015,9/24/2015,No,"Tampa, FL",,21,,10/6/2015,10/6/2015,Blessing,,,,,93,,
yuan,"PP, non-CC",TSC,EB1A,9/11/2015,9/18/2015,No,"Boston, MA",12/11/2015,28,91,10/7/2015,10/7/2015,Blessing,,,,,97,,
anonymous-sn,"PP, non-CC",TSC,EB1A,9/10/2015,9/19/2015,Yes,"Baltimore, MD",,22,,10/9/2015,10/2/2015,Blessing,,,,,98,,"EAD/AP approved on 12-08-2015, I-485 transfered to NSC on 11-30-2015"
melody,"non PP, non CC",TSC,EB1B,9/2/2015,,No,MA,,27,,9/29/2015,9/29/2015,Blessing,,,,,106,,
rossxu,"PP, non-CC",TSC,EB1A,9/2/2015,9/11/2015,No,NJ,12/2/2015,29,91,10/1/2015,10/1/2015,Blessing,,,,,106,,
leopardo,"PP, non-CC",TSC,EB1A,8/26/2015,,Yes,"Boston, MA",11/3/2015,15,69,9/14/2015,9/10/2015,Blessing,,,,,113,,
anonymous-gc,"pp,nonCC",TSC,EB1B,8/25/2015,9/4/2015,No,"Alexandria, VA",11/16/2015,28,83,9/22/2015,9/22/2015,Blessing,,,,,114,,
djp,"non-pp, non-CC",TSC,EB1A,8/24/2015,9/2/2015,"Yes
",LA,,14,,,9/7/2015,Blessing,,,,,115,,
StaticPulse,"PP, non CC",TSC,EB1B,8/21/2015,8/27/2015,"Yes
","San Antonio, TX",11/10/2015,21,81,9/14/2015,9/11/2015,Blessing,,,,,118,,
Kaka,"PP, non-CC",TSC,EB1B,8/17/2015,,"Yes
",MA,11/9/2015,11,84,9/11/2015,8/28/2015,Blessing,,,,,122,,
ooeehh,"PP, non-CC",TSC,EB1A,8/17/2015,8/28/2015,Yes,GA,11/5/2015,17,80,9/10/2015,9/3/2015,Blessing,,,,,122,,
llstudio,"PP, non-CC",TSC,EB1A,8/12/2015,8/22/2015,Yes,"Charleston, SC",11/4/2015,20,84,9/9/2015,9/1/2015,Blessing,,,,,127,,
lovedream15,"PP, non-CC",TSC,EB1A,8/11/2015,8/24/2015,Yes,"Pittsburgh, PA",11/4/2015,16,85,9/10/2015,8/27/2015,Blessing,,,,,128,,
ark,"PP, non-CC",TSC,EB1A,8/10/2015,8/27/2015,Yes,"Sugarland, TX",11/4/2015,22,86,9/11/2015,9/1/2015,Blessing,,,,,129,,
culater,"PP, non-CC",TSC,EB1A,7/31/2015,8/14/2015,Yes,"New York, NY",10/20/2015,18,81,8/28/2015,8/18/2015,Blessing,,,,,139,,
pureland,"PP, non-CC",TSC,EB1A,7/28/2015,8/3/2015,No,"Sugarland, TX",10/21/2015,24,85,8/21/2015,8/21/2015,12/3/2015,12/9/2015,,,,142,,副申请人还没绿
lin123,"PP, non-CC",TSC,EB1A,7/27/2015,8/10/2015,No,"New York, NY",10/14/2015,31,79,8/27/2015,8/27/2015,Blessing,,,,,143,,
kflili,"PP, non-CC",TSC,EB1A,7/24/2015,8/1/2015,No,"Nashville,TN",9/30/2015,30,68,8/21/2015,8/21/2015,Blessing,,,,,146,,
ilybb,"PP, non-CC",TSC,EB1A,7/24/2015,8/1/2015,Yes,"Austin, TX",,17,,8/17/2015,8/10/2015,10/1/2015,,,52,69,,39.70%,副申请人10/5 爆绿；主副485同时交的
cwbluesky,"PP, non-CC",TSC,EB1A,7/22/2015,8/1/2015,no,"Baltimore, MD",10/7/2015,28,77,8/19/2015,8/19/2015,Blessing,,,,,148,,
little,"PP,non-CC",TSC,EB1B,7/20/2015,8/5/2015,,"Boston,MA",,,,8/21/2015,,Blessing,,,,,150,,
lisa,"PP,non-CC",NSc,EB1A,7/17/2015,,,,,,,,,Blessing,,,,,153,,
Bixi,"PP, non-CC",TSC,EB1A,7/16/2015,8/5/2015,no,"Boston, MA",10/2/2015,21,78,8/14/2015,8/14/2015,Blessing,,,,,154,,
cooltxeel,"pp,non-cc",TSC,EB1A,7/15/2015,9/12/2015,NO,"Austin, TX",9/30/2015,21,77,9/30/2015,9/30/2015,Blessing,,,,,155,,
nishang,"PP, non-CC",TSC,EB1A,7/15/2015,,Yes,"Elisabeth, NJ",,20,,8/4/2015,8/4/2015,Blessing,,,,,155,,
thirdwave,"pp, non-cc",TSC,EB1B,7/13/2015,7/17/2015,no,"Baltimore, MD",,23,,8/5/2015,8/5/2015,Blessing,,,,,157,,
"KG
","PP,non-CC",TSC,EB1B,7/13/2015,,,,,,,,,Blessing,,,,,157,,
shotxu,"PP, non-CC",TSC,EB1B,7/10/2015,7/18/2015,yes,"Fort Myers, FL",10/1/2015,18,83,8/6/2015,7/28/2015,Blessing,,,,,160,,
Grace,non-cc,TSC,EB1B,7/9/2015,7/23/2015,yes,"ABQ, NM",,25,,8/3/2015,8/3/2015,Blessing,,,,,161,,
anonymous,"non-pp, non-CC",TSC,EB1A,7/9/2015,7/17/2015,yes,"Baltimore,MD",9/24/2015,18,77,8/6/2015,7/27/2015,Blessing,,,,,161,,
eastham,"pp, non-CC",TSC,EB1A,7/9/2015,7/17/2015,yes,"Boston, MA",9/23/2015,18,76,8/3/2015,7/27/2015,Blessing,,,,,161,,主申请人EAD/AP approved; 副申请人EAD/AP approved on 10/1/2015
anonymous,"pp, non-CC",TSC,EB1A,7/7/2015,7/17/2015,No,"Dallas, TX",10/3/2015,28,88,8/4/2015,8/4/2015,12/3/2015,,61,121,149,,84.10%,主副同绿
feifei,"pp, non-CC",TSC,EB1A,7/7/2015,7/18/2015,No,"Elizabeth, NJ",,29,,8/5/2015,8/5/2015,Blessing,,,,,163,,
yrzgyy,"pp, non-CC",TSC,EB1A,7/7/2015,7/17/2015,yes,"Durham, NC",9/29/2015,31,84,8/4/2015,8/7/2015,Blessing,,,,,163,,
lin,"pp, non-CC",TSC,EB1A,7/6/2015,7/22/2015,Yes,"Boston, MA",,22,,8/6/2015,7/28/2015,Blessing,,,,,164,,
HexiToFor,"PP, CC",TSC,EB1A,7/6/2015,7/16/2015,YES,"Alexandria, VA",9/4/2015,11,60,7/31/2015,7/17/2015,10/7/2015,,33,82,93,,62.90%,副申请人EAD/AP approved on 9/30/2015; 485主副申请人同时approved
kobefanfan,"PP,non-CC",TSC,EB1A,7/2/2015,7/16/2015,Yes,"Durham, NC",,15,,7/27/2015,7/17/2015,Blessing,,,,,168,,
Hugo,"PP, CC",TSC,EB1A,7/2/2015,7/16/2015,yes,PA,9/24/2015,22,85,7/28/2015,7/24/2015,10/29/2015,,35,97,119,,74.70%,主副隔一天EAD/AP批准
bliu,"pp, non-CC",TSC,EB1A,7/1/2015,7/11/2015,No,WA,9/23/2015,26,84,7/27/2015,7/27/2015,Blessing,,,,,169,,主副隔两天EAD/AP批准
SD,"PP, non-CC",TSC,EB1A,7/1/2015,7/10/2015,Yes,"Sugarland, TX",9/21/2015,20,82,7/27/2015,7/21/2015,Blessing,,,,,169,,
zcxt,"PP, CC",TSC,EB1A,6/29/2015,7/11/2015,No,CT,9/16/2015,30,79,7/29/2015,7/29/2015,Blessing,,,,,171,,
uteagle,"PP, CC",TSC,EB1B,6/26/2015,7/7/2015,No,"Houston, TX",8/22/2015,26,57,,7/22/2015,Blessing,,,,,174,,Requested I765 Expedite procededure and approved.
h,"pp, non-CC",TSC,EB1A,6/26/2015,7/7/2015,No,NJ,,24,,7/22/2015,7/20/2015,Blessing,,,,,174,,
l,"pp, non-CC",TSC,EB1B,6/24/2015,7/6/2015,No,TN,9/21/2015,29,89,7/23/2015,7/23/2015,10/16/2015,10/22/2015,25,85,114,,72.30%,
bubu,"pp, non-CC",TSC,EB1B,6/22/2015,6/27/2015,"Yes
",NY,9/15/2015,15,85,7/14/2015,7/7/2015,Blessing,,,,,178,,
anonymous,"pp,non-CC",TSC,EB1A,6/19/2015,6/27/2015,Yes,"Baltimore,MD",,19,,7/17/2015,7/8/2015,Blessing,,,,,181,,
dreamdog,"pp, non-CC",TSC,EB1B,6/17/2015,6/24/2015,NO,"Tampa, FL",10/3/2015,,,7/11/2015,7/11/2015,Blessing,,,,,,,
whx4318,"pp, non-CC",TSC,EB1A,6/16/2015,6/26/2015,Yes,"Boston, MA",9/16/2015,31,92,7/17/2015,7/17/2015,Blessing,,,,,184,,主副EAD/AP同时approve
Colourdragon,"non-pp, non-CC",TSC,EB1A,6/15/2015,6/19/2015,Yes,"Boston MA
",9/3/2015,25,80,7/10/2015,7/10/2015,Blessing,,,,,185,,
Michael,"pp, non-CC",TSC,EB1A,6/15/2015,6/20/2015,No,"Houston, TX",9/9/2015,24,84,7/9/2015,7/9/2015,Blessing,,,,,185,,
A2,"PP, non-CC",TSC,EB1B,6/12/2015,6/29/2015,No,,,27,,7/9/2015,7/9/2015,Blessing,,,,,188,,
shjimli,"non-pp, non-CC",TSC,EB1A,6/12/2015,6/20/2015,Yes,"Jacksonville, FL",9/10/2015,18,90,7/8/2015,6/30/2015,Blessing,,,,,188,,
termaze,"PP, non CC",TSC,EB1B,6/9/2015,6/22/2015,Yes,"Fort Smith, AR",,17,,7/7/2015,6/26/2015,10/1/2015,,,97,114,,72.30%,
zhou,"pp, non-CC",TSC,EB1A,6/2/2015,6/13/2015,No,"Boston MA
",,28,,6/30/2015,6/30/2015,Blessing ,,,,,198,,
anonymous,"pp, non-CC",TSC,EB1A,6/1/2015,6/18/2015,Yes,"Houston, TX",,18,,6/30/2015,6/19/2015,Blessing,,,,,199,,
yeyewuyu,"pp, non-CC",TSC,EB1A,6/1/2015,6/13/2015,Yes,"Austin, TX",8/18/2015,23,78,7/1/2015,6/24/2015,10/7/2015,,50,105,128,,78.40%,
James,"PP,CC",TSC,EB1B,5/29/2015,6/6/2015,No,"Louisville, KY",10/3/2015,28,127,6/26/2015,6/26/2015,10/22/2015,,19,118,146,,82.70%,
seahearman,"non-pp,non-cc",TSC,EB1B,5/28/2015,6/27/2015,No,NC,,60,,7/27/2015,7/27/2015,Blessing,,,,,203,,
qingmo17,"pp, non-CC",TSC,EB1B,5/28/2015,6/13/2015,No,,,34,,7/1/2015,7/1/2015,Blessing,,,,,203,,
wangkf,"pp, non-CC",TSC,EB1A,5/28/2015,6/14/2015,No,"Baltimore, MD
",,34,,7/1/2015,7/1/2015,Blessing,,,,,203,,
FF,"pp, non-CC",TSC,EB1A,5/28/2015,6/13/2015,No,TN,8/21/2015,32,,6/29/2015,6/29/2015,Blessing ,,,,,203,,
liuliu,"pp, non-CC",TSC,EB1A,5/28/2015,6/6/2015,Yes,MA,8/10/2015,15,74,6/26/2015,6/12/2015,Blessing,,,,,203,,
simonsun,"pp, non-CC",TSC,EB1A,5/26/2015,7/10/2015,Yes,"San Jose, CA",7/28/2015,55,63,7/27/2015,7/20/2015,Blessing,,,,,205,,"I140 in NSC, I485 sent to CSC, then transferred to TSC"
tonywang,"pp,non-CC
",TSC,EB1B,5/19/2015,5/26/2015,yes,MA,8/10/2015,36,83,6/24/2015,6/24/2015,8/10/2015,,0,47,83,,53.60%,
Greengreen,"pp,non-CC",TSC,EB1A,5/19/2015,5/26/2015,Yes,NC,8/10/2015,28,,6/23/2015,6/16/2015,Blessing,,,,,212,,
mianao,"PP,non-cc",TSC,EB1b,5/18/2015,6/1/2015,No,LA,,31,,6/18/2015,6/18/2015,8/14/2015,,,57,88,,57.20%,主绿，副EAD/AP Approved on 08/06/2015
Sbzsz,"PP, N CC",TSC,EB1A,5/18/2015,6/1/2015,Yes,,,21,,6/18/2015,6/8/2015,8/6/2015,,,59,80,,51.30%,主綠，副EAD/AP approved on 8/10/2015
Maimai,"pp, non-CC",TSC,EB1A,5/18/2015,5/23/2015,No,NH,,24,,6/11/2015,6/11/2015,6/29/2015,7/24/2015,,18,42,,11.00%,副 7/10
y,"PP,non-cc",TSC,EB1A,5/18/2015,5/23/2015,No,MA,,24,,6/11/2015,6/11/2015,6/29/2015,7/9/2015,,18,42,,11.00%,"主绿，附卡还没批, 副EAD/AP approved on 8/7/2015"
greener,"pp,cc",TSC,EB1B,5/13/2015,5/15/2015,NO,MA,,23,,6/5/2015,6/5/2015,7/22/2015,,,47,70,,41.10%,主副同绿
bin,"non-pp, non CC",TSC,EB2,5/11/2015,5/18/2015,Yes,"Buffalo, NY",,17,,6/11/2015,5/28/2015,Blessing,,,,,220,,
greenie,"pp, non-CC",TSC,EB1A,5/11/2015,5/16/2015,No,TX,7/27/2015,25,77,6/5/2015,6/5/2015,Blessing,,,,,220,,
max,"pp, non CC",TSC,EB1A,5/8/2015,5/29/2015,Yes,NC,7/27/2015,28,80,6/9/2015,6/5/2015,10/28/2015,11/4/2015,,145,173,,90.40%,
Jesse,"pp, non-CC",TSC,EB1A,5/8/2015,5/21/2015,Yes,NY,7/23/2015,14,76,6/2/2015,5/22/2015,Blessing,,,,,223,,
sf,"pp, non-CC",TSC,EB1A,5/7/2015,5/15/2015,Yes,SC,,26,,6/10/2015,6/2/2015,7/17/2015,,,45,71,,42.20%,
"jacob
","PP, CC",TSC,EB1A,5/7/2015,5/9/2015,No,PA,,19,,5/26/2015,5/26/2015,Blessing,,,,,224,,"副EAD7/31批准
"
Yangsta,"pp, non-CC",TSC,EB1A,5/6/2015,5/20/2015,Yes,PA,,29,,6/4/2015,6/4/2015,7/13/2015,,,39,68,,38.70%,主副同绿
echaocn,"PP, non-CC",TSC,EB1A,5/5/2015,5/15/2015,No,MD,7/14/2015,29,70,6/3/2015,6/3/2015,7/25/2015,,,52,81,,52.50%,副EAD批准7/14，主副7/25绿卡批
xiaoJ,"non-pp, non CC",TSC,EB2,5/4/2015,5/22/2015,No,,,32,,6/5/2015,6/5/2015,6/13/2015,6/22/2015,,8,40,,9.00%,"6/15, welcome notice mailed. 6/17, card mailed. Primary and dependent approved at the same time. God bless everybody!"
BING,"PP,non CC
",TSC,EB1A,4/30/2015,NONE,Yes,NYC,,29,,NONE,5/29/2015,Blessing,,,,,231,,
xyz16,"PP, non CC",TSC,EB1A,4/29/2015,5/13/2015,No,NYC,7/22/2015,30,84,5/29/2015,5/29/2015,Blessing,,,,,232,,
poetaster,"pp, non-CC",TSC,EB1A,4/29/2015,5/11/2015,Yes,NY,6/19/2015,16,51,5/26/2015,5/15/2015,Blessing,,,,,232,,
Chanticler,"PP, CC",TSC,EB1A,4/29/2015,5/1/2015,No,MD,6/15/2015,21,47,5/20/2015,5/20/2015,6/16/2015,6/24/2015,1,27,48,,15.30%,主副同绿
Y Wu,"PP, non CC",TSC,EB1A,4/28/2015,5/1/2015,no,,6/11/2015,22,44,5/20/2015,5/20/2015,6/12/2015,6/19/2015,1,23,44,,12.40%,
Y Wang,"PP, non CC",TSC,EB1A,4/28/2015,5/1/2015,no,,,22,,5/20/2015,5/20/2015,6/12/2015,6/19/2015,,23,44,,12.40%,
cw,"PP, non-CC",TSC,EB1A,4/28/2015,,No,,6/11/2015,21,44,5/19/2015,5/19/2015,7/28/2015,,47,70,90,,59.70%,附卡还没批
guitarplayer,"PP, non-CC",TSC,EB1A,4/28/2015,,,,7/14/2015,21,77,,5/19/2015,11/4/2015,,113,169,186,,92.70%,
GordonGekko,"PP, non CC",TSC,EB1B,4/24/2015,5/1/2015,No,NJ,7/10/2015,26,77,5/20/2015,5/20/2015,Blessing,,,,,237,,副申请人EAD/AP批准7/29
CC,,TSC,,4/23/2015,5/1/2015,No,MA,6/25/2015,26,63,5/19/2015,5/19/2015,Blessing,,,,,238,,
sunlu,"PP, non CC",TSC,EB1B,4/22/2015,5/4/2015,No,,,20,,5/12/2015,5/12/2015,6/2/2015,,,21,40,,9.00%,
HK,"PP, non CC",TSC,EB1B,4/22/2015,5/2/2015,Yes,,,14,,5/11/2015,5/6/2015,Blessing,,,,,239,,
Z,"PP, non CC",TSC,EB1B,4/22/2015,5/2/2015,No,"Boston MA
",6/25/2015,29,64,5/21/2015,5/21/2015,7/24/2015,,29,,93,,62.90%,
stevez,"PP, non CC",TSC,EB1B,4/21/2015,5/2/2015,Yes,"Dallas, TX",,23,,5/18/2015,5/14/2015,6/24/2015,7/7/2015,,41,63,,31.40%,NO filing for EAD or AP
ponnyblue,"PP, non CC",TSC,EB1A,4/21/2015,5/2/2015,No,TN,7/8/2015,27,78,5/18/2015,5/18/2015,Blessing,,,,,240,,副申请人EAD/AP 7/20/15 批 （整整90天）
sepblues,"PP, non CC",TSC,EB1A,4/21/2015,5/1/2015,no,MD,,30,,5/21/2015,5/21/2015,6/19/2015,6/24/2015,,29,58,,27.10%,主副同绿
CY,"non-pp, CC",TSC,EB1A,4/21/2015,4/28/2015,No,TX,7/15/2015,29,77,5/20/2015,5/20/2015,10/30/2015,,107,163,189,,93.30%,
Merry,"PP, non CC",TSC,"EB1B
",4/20/2015,4/24/2015,No,PA,5/20/2015,23,30,5/14/2015,5/13/2015,6/13/2015,,24,31,53,,22.40%,主副同绿
Ronnie,,TSC,EB1A,4/20/2015,4/30/2015?,No,Hartford,5/27/2015,23,36,5/14/2015,5/14/2015,,,,,,,,
freek,"PP, non CC",TSC,EB1A,4/20/2015,5/2/2015,No,"Boston, MA",5/18/2015,21,28,5/11/2015,5/11/2015,Blessing,,,,,241,,副申请人EAD/AP 7/8批了
acumen,"PP, non CC",TSC,EB1B,4/16/2015,4/24/2015,No,,,25,,5/11/2015,5/11/2015,6/30/2015,,,,75,,46.40%,
G,"PP, non CC",TSC,EB1A,4/16/2015,4/24/2015,No,"New York City, NY",,29,,5/15/2015,5/15/2015,6/9/2015,6/15/2015,,25,53,,22.40%,主副同绿
NH001,"no pp, non CC",TSC,EB2,4/15/2015,4/29/2015,No,"Bedford, NH",,28,,5/13/2015,5/13/2015,Blessing,,,,,246,,
hc007,"pp, non CC",TSC,EB2,4/14/2015,4/27/2015,yes,"atlanta,GA",7/9/2015,28,,5/20/2015,5/12/2015,Blessing,,,,,,,
JC,"pp,",TSC,EB1A,4/14/2015,4/21/2015,Yes,CT,6/5/2015,28,52,5/12/2015,5/12/2015,Blessing,,,,,247,,(6/5/2015) 主副的EAD 批了; 
Echo,"PP, non CC",TSC,EB1A,4/10/2015,4/17/2015,Yes,"ABQ,NM",7/1/2015,18,82,5/4/2015,4/28/2015,Blessing,,,,,251,,"主副的EAD/AP 批了, 75天过完之后，打电话service request了一下，周五打电话，下个周三就批了"
QM,"PP, non CC",TSC,EB1A,4/10/2015,4/17/2015,No,"Memphis, TN",5/22/2015,27,42,5/7/2015,5/7/2015,Blessing,,,,,251,,主副的EAD/AP 批了
amd,"PP, non CC",TSC,EB1B,4/8/2015,4/13/2015,yes,AR,5/16/2015,19,38,5/7/2015,4/27/2015,5/16/2015,,0,19,38,,6.50%,主485批了，主副的EAD/AP 批了
Michelle,,,EB1C,4/7/2015,4/20/2015,,,,,,,,Blessing,,,,,254,,
cc,"PP, non CC",TSC,EB1B,4/7/2015,4/21/2015,No,"Sugarland, TX",5/13/2015,31,36,5/8/2015,5/8/2015,Blessing,,,,,254,,主副卡EAD/AP批了
J,"PP, non CC",TSC,EB1A,4/6/2015,4/17/2015,No,"Durham, NC",5/21/2015,30,45,5/6/2015,5/6/2015,Blessing,,,,,255,,
jinqueshan,"PP, non CC",TSC,EB1A,4/6/2015,4/17/2015,No,,5/18/2015,30,,5/6/2015,5/6/2015,Blessing,,,,,255,,
theia,"PP, non CC",TSC,EB1A,4/6/2015,4/10/2015,No,RI,,24,,4/30/2015,4/30/2015,Blessing,,,,,255,,
"CKCK
","PP, non CC",TSC,EB1B,4/3/2015,4/12/2015,Yes,"Philadelphia, PA",5/11/2015,18,38,4/30/2015,4/21/2015,5/22/2015,,12,31,49,,17.30%,主副同时
ARM,"non PP, non CC",TSC,NIW,4/1/2015,4/10/2015,Yes,AZ,5/27/2015,19,56,4/30/2015,4/20/2015,Blessing,,,,,260,,副卡EAD先于05/22批的。
A0,"non PP, non CC",TSC,NIW,4/1/2015,4/10/2015,Yes,TX,5/14/2015,20,43,4/28/2015,4/21/2015,Blessing,,,,,260,,主副的EAD/AP 批了，485还没有
Xuloong,"PP, non CC", TSC,EB1A,4/1/2015,4/10/2015,No,"Boston, MA",5/13/2015,27,43,4/28/2015,4/28/2015,5/21/2015,,8,23,50,,18.30%,
Putao,"PP, non CC",TSC,EB1A,4/1/2015,4/10/2015,No,"Philadelphia, PA",5/13/2015,30,43,5/1/2015,5/1/2015,5/22/2015,,9,21,51,,20.00%,主副同时绿
yy,"PP, non CC",TSC,EB1A,3/30/2015,4/10/2015,No,,5/19/2015,31,50,4/30/2015,4/30/2015,5/29/2015,,10,31,59,,28.70%,副卡还没批
anonymous,"PP, non CC",TSC,EB1A,3/30/2015,,yes,Baltimore MD,5/15/2015,28,46,5/1/2015,4/27/2015,5/20/2015,,5,20,50,,18.30%,主485批了，主副的EAD/AP 批了
