,"I140 PP, 140/485 cc",Center,Type,"I-485
Olivian,"PP, non CC",TSC,EB1A,3/27/2015,3/31/2015,No,MA,5/7/2015,26,41,4/22/2015,4/22/2015,Blessing,fighting!,,,,265,,
Immunome,"PP, non CC",TSC,EB1B,3/26/2015,3/27/2015,No,,,18,,4/13/2015,4/13/2015,6/12/2015,,,60,78,,49.70%,
Q,"PP, non CC",TSC,EB1B,3/25/2015,4/3/2015,No,,5/11/2015,28,47,4/22/2015,4/22/2015,6/26/2015,,,65,93,,62.90%,
JH,Pp non cc,TSC,EB1A,3/25/2015,4/9/2015,NO,PA,5/6/2015,29,42,4/23/2015,4/23/2015,5/22/2015,,16,29,58,,27.10%,
AH,"PP, non CC",TSC,EB1A,3/25/2015,4/3/2015,no,TN,5/6/2015,26,42,4/20/2015,4/20/2015,5/9/2015,,3,19,45,,13.80%,副EAD/AP 5/13/2015批， 副485 5/20/2015批
JL,"PP, CC",TSC,EB1B,3/23/2015,3/27/2015,no,,5/7/2015,22,45,4/14/2015,4/14/2015,Blessing,,,,,269,,
Repus,"non PP, non CC",TSC,EB1A,3/20/2015,4/3/2015,no, TX,,24,,4/13/2015,4/13/2015,5/6/2015,,,23,47,,15.10%,485 批了 ，EAD/AP还没有
ss,"PP, non CC",TSC,EB1A,3/20/2015,4/2/2015,Yes,MD,,14,,4/17/2015,4/3/2015,5/8/2015,,,35,49,,17.30%,485 批了 ，EAD/AP还没有
YW,"PP, non CC",TSC,EB1A,3/19/2015,4/2/2015,No,,5/26/2015,28,68,4/16/2015,4/16/2015,Blessing,,,,,273,,
Alvin,"PP, non CC",TSC,EB1A,3/16/2015,4/3/2015,Yes,"Alexandria, VA",6/3/2015,22,79,4/15/2015,4/7/2015,Blessing,,,,,276,,
"caocaofanhua
","140 PP, no CC
","TSC
",EB1A,3/12/2015,3/20/2015,NO,"Jacksonville, FL",5/8/2015,25,57,4/6/2015,4/6/2015,Blessing,,,,,280,,EAD/AP 主卡批，副卡尚未
milahulu,"PP, CC",TSC,EB1A,3/12/2015,,YES,TX,5/11/2015,48,60,4/23/2015,4/29/2015,Blessing,,,,,280,,
Tim,"PP, non CC",TSC,EB1A,3/11/2015,,no,,5/7/2015,27,57,4/7/2015,4/7/2015,5/11/2015,,4,34,61,,30.60%,
green,"non PP, non CC",TSC,EB1B,3/9/2015,3/27/2015,no,,5/6/2015,35,58,4/13/2015,4/13/2015,Blessing,,,,,283,,
anoymous,"PP, non CC","TSC
",EB1B,3/9/2015,3/16/2015,No,MA,4/21/2015,37,43,4/15/2015,4/15/2015,5/15/2015,,24,30,67,,37.30%,
hehehehe,"PP, non CC",TSC,EB1A,3/9/2015,3/17/2015,no,,5/13/2015,36,65,4/14/2015,4/14/2015,Blessing,,,,,283,,
mariava,"PP, CC",TSC,EB1B,3/4/2015,3/6/2015,no,,5/5/2015,23,62,3/27/2015,3/27/2015,5/15/2015,,24,49,72,,43.00%,
owencarl,"PP, non CC",TSC,EB1A,3/4/2015,3/20/2015,no,VA,5/19/2015,37,76,4/10/2015,4/10/2015,Blessing,,,,,288,,
otterfree,"PP, non CC",TSC,EB1A,3/4/2015,,no,,5/5/2015,19,62,3/23/2015,3/23/2015,Blessing,,,,,288,,
anonymousKK,,TSC,EB2,3/3/2015,3/20/2015,No,MA,4/30/2015,38,58,4/10/2015,4/10/2015,5/9/2015,,9,29,67,,37.30%,
cymene,"PP, non CC",TSC,EB1A,3/3/2015,3/17/2015,no,NJ,4/26/2015,31,54,4/3/2015,4/3/2015,Blessing,,,,,289,,
anonymous,"PP, non CC",TSC,EB1A,3/3/2015,3/13/2015,no,CT,5/11/2015,27,69,3/30/2015,3/30/2015,8/10/2015,,,133,160,,86.80%,主副同时批
anonymous,"PP, non CC",TSC,EB1B,3/2/2015,3/27/2015,no,TX,4/22/2015,45,51,4/16/2015,4/16/2015,Blessing,,,,,290,,
foreverglory,"PP, non CC",TSC,EB1B,2/26/2015,3/13/2015,yes,"Wheaton, MD",,19,,3/27/2015,3/17/2015,5/9/2015,,N/A,53,72,,43.00%,Primary and secondary applicants greened concurrently
patricia,"PP, non CC",TSC,EB1A,2/26/2015,3/27/2015,yes,TX,4/27/2015,32,60,4/10/2015,3/30/2015,5/14/2015,,17,45,78,,49.70%,second card got RFE
SophiaTong,"PP, CC",TSC,EB1A,2/24/2015,,no,,,29,,3/25/2015,3/25/2015,Blessing,,,,,296,,
"jxmbb2010
","PP, non CC",TSC,EB1A,2/23/2015,3/2/2015,no,"Alexandria, VA",4/24/2015,28,60,3/13/2015,3/23/2015,4/22/2015,,-2,30,58,,27.10%,
anonymous,"PP, non CC",TSC,EB1A,2/20/2015,2/27/2015,no,MA,5/1/2015,26,69,3/18/2015,3/18/2015,5/1/2015,,0,44,69,,39.70%,combo在485之前大概2个小时批的
myshulei,"PP, non CC",TSC,EB1A,2/17/2015,3/9/2015,no,"Austin, TX",5/6/2015,27,78,3/16/2015,3/16/2015,11/10/2015,,,,,303,,
lokobeve,"PP, non CC",TSC,EB1A,2/11/2015,3/5/2015,NO,CT,4/24/2015,35,72,3/18/2015,3/18/2015,blessing,,,,,309,,
miantiao,"PP, non CC",TSC,EB1A,2/11/2015,,yes,,,26,,,3/9/2015,blessing,,,,,309,,
Delfield,"non-PP,non CC
",TSC,EB1B,2/10/2015,2/21/2015,no,"Baltimore,MD",4/29/2015,36,78,3/18/2015,3/18/2015,5/13/2015,,14,56,92,,60.90%,主绿5/13；副RFE; 6/12绿 
Amyxue,"PP, non CC",TSC,EB1B,2/10/2015,2/20/2015,no,"Elizabeth, NJ",4/20/2015,38,69,3/20/2015,3/20/2015,6/12/2015,,53,84,122,,76.20%,
hewletth,"PP, non CC",TSC,EB1A,2/9/2015,2/28/2015,no,"Baltimore, MD",4/11/2015,31,61,3/12/2015,3/12/2015,4/17/2015,,6,36,67,,37.30%,
xyxyxy,"PP, non CC",TSC,EB1A,2/9/2015,2/27/2015,no,"Houston, TX",4/9/2015,29,59,3/10/2015,3/10/2015,Blessing,,,,,311,,
newgoal,"PP,non CC",TSC,EB1A,2/9/2015,,NO,,4/11/2015,30,61,3/11/2015,3/11/2015,Blessing,,,,,311,,
gbz,"PP, non CC",TSC,EB1A,2/9/2015,,no,"Houston, TX",4/16/2015,29,66,3/10/2015,3/10/2015,4/16/2015,,0,37,66,,36.00%,
saintlim,"non PP, CC",TSC,EB1B,2/6/2015,2/13/2015,No,"Albany, NY",,35,,3/13/2015,3/13/2015,Blessing,,,,,314,,
SubaruMD,"non-PP, CC
",TSC,EB1B,2/2/2015,2/26/2015,no,"Baltimore, MD",4/16/2015,37,73,3/11/2015,3/11/2015,10/9/2015,,,,,,,
Lucy,,TSC,EB1A,2/2/2015,2/15/2015,no,"Boston, MA",4/3/2015,23,60,2/25/2015,2/25/2015,4/20/2015,,17,54,77,,48.30%,
boster,"PP, non CC",TSC,EB1A,2/2/2015,2/12/2015,no,"Elizabeth, NJ",4/27/2015,25,84,2/27/2015,2/27/2015,Blessing,,,,,318,,
XIXIHAHAGG,"PP,non CC",TSC,EB1A,2/2/2015,,,,4/2/2015,25,59,2/27/2015,2/27/2015,Blessing,,,,,318,,
Sunny ,"PP, non CC",TSC,EB1B,1/30/2015,,No,,4/2/2015,26,62,2/25/2015,2/25/2015,Blessing,,,,,321,,
anonymous,"non PP, non CC",TSC,EB1A,1/27/2015,2/6/2015,no,no walk-in,4/3/2015,31,66,2/27/2015,2/27/2015,4/12/2015,,9,44,75,,46.40%,recieved green cards on 4/15/2015
Anonymous,"PP, non CC",TSC,EB1A,1/26/2015,2/12/2015,no,,3/24/2015,29,57,2/24/2015,2/24/2015,4/10/2015,,17,45,74,,44.80%,主副全程同步
bbmouse,"PP, non CC",TSC,EB1A,1/23/2015,1/23/2015,no,"Alexandria, VA",3/24/2015,26,60,2/18/2015,2/18/2015,12/2/2015,,,,,328,,
forgrace123,"PP, CC",TSC,EB1A,1/23/2015,,,,,25,,,2/17/2015,3/20/2015,,,31,56,,26.10%,http://www.mitbbs.com/article_t/Immigration/33447663.html
annekevin,"PP, non CC",TSC,EB1A,1/20/2015,,no,FL,3/19/2015,28,58,2/17/2015,2/17/2015,7/8/2015,,111,141,169,,89.60%,副卡还在pending
gagazhang,"PP, non CC",TSC,EB1A,1/14/2015,1/30/2015,no,"Dallas, TX",4/16/2015,26,92,2/9/2015,2/9/2015,Blessing,,,,,337,,
Sulaaf,"PP, non CC",TSC,EB1A,1/12/2015,,no,"New York, NY",3/19/2015,21,66,2/2/2015,2/2/2015,5/19/2015,,61,106,127,,78.20%,副卡AP/EAD 3/26/15批准
GreenSoon,"non-PP, CC",TSC,EB1B,1/9/2015,1/16/2015,no,"Dallas, TX",3/27/2015,28,77,2/6/2015,2/6/2015,6/11/2015,,76,125,153,,85.30%,"副卡AP/EAD 4/20/15批准, 主副同绿"
afnyc,non-PP,TSC,EB1B,1/8/2015,1/17/2015,no,"New York, NY",3/31/2015,18,82,1/26/2015,1/26/2015,Blessing,,,,,343,,
fly,"non-PP,non-CC",TSC,EB1A,1/8/2015,1/18/2015,no,"Philadelphia,PA",3/27/2015,19,78,1/27/2015,1/27/2015,6/3/2015,,68,127,146,,82.70%,副卡还没批
caoer,"PP, non-CC",TSC,EB1A,1/8/2015,1/9/2015,no,FL,3/17/2015,19,68,1/27/2015,1/27/2015,Blessing,,,,,343,,
wangyujie,non-CC,TSC,EB1A,1/8/2015,,no,"New Olreans, LA",3/23/2015,22,74,1/30/2015,1/30/2015,7/24/2015,,123,175,197,,94.10%,副AP/EAD3/23，主AP/EAD3/25，绿卡主副同时
yellowfish21,"PP, nonCC",TSC,EB1A,1/2/2015,1/9/2015,Yes,"Boston, MA",3/26/2015,24,83,1/27/2015,1/26/2015,6/23/2015,,89,148,172,,90.20%,"副卡EAD 3/26, green card还没批"
feiding,"PP, nonCC",TSC,EB1B,12/30/2014,1/14/2015,No,"Boston, MA",3/26/2015,26,90,1/26/2015,1/26/2015,,,,,,,,
dylan,"PP, non CC",TSC,EB1B,12/29/2014,1/6/2015,Yes,Buffalo,3/20/2015,18,80,1/26/2015,1/16/2015,Blessing,,,,,353,,
wildcat535,"PP, non CC",TSC,EB1B,12/24/2014,1/9/2015,Yes,"Albany, NY",3/9/2015,22,75,1/28/2015,1/15/2015,5/7/2015,5/16/2015,59,112,134,,79.80%,副AP/EAD 3/24批准， 主副485同时approve
zzzaq,"PP, CC",TSC,EB1B,12/24/2014,1/7/2015,no,,3/3/2015,28,69,1/21/2015,1/21/2015,4/28/2015,,56,97,125,,77.00%,
godltime,"PP, non CC",TSC,EB1A,12/24/2014,1/9/2015,Yse,IN,3/23/2015,39,89,1/28/2015,2/1/2015,Blessing,,,,,358,,
yt,"PP, non CC",TSC,EB1A,12/23/2014,1/2/2015,No,NY,2/27/2015,28,66,1/20/2015,1/20/2015,Blessing,,,,,359,,
k,"PP, non CC",TSC,EB1A,12/23/2014,,No,,3/6/2015,28,73,1/20/2015,1/20/2015,6/9/2015,,95,140,168,,89.40%,
Meg,"non-PP, CC",TSC,NIW,12/22/2014,1/7/2015,No,NYC,3/5/2015,39,73,1/30/2015,1/30/2015,Blessing,,,,,360,,
hupking,"PP, non CC",TSC,EB1A,12/17/2014,"
",No,FL,2/19/2012,28,64,1/14/2015,1/14/2015,Blessing,,,,,365,,副卡EAD/AP3月13号批准
simbaily,"PP, non CC",TSC,EB1A,12/17/2014,,No,Boston,4/8/2015,22,112,1/8/2015,1/8/2015,8/7/2015,,121,211,233,,97.40%,
"anonymous
","PP, CC",TSC,EB1A,12/15/2014,,,NC,2/25/2015,,72,,,5/27/2015,,91,,163,,88.20%,
Anonymous ,"no pp,no cc",TSC,EB1C,12/11/2014,1/2/2015,no,New York,3/12/2015,42,,1/22/2015,1/22/2015,Blessing,,,,,371,,
DD,non PP,TSC,EB1A,12/11/2014,12/26/2014,no,Boston,3/4/2015,43,83,1/23/2015,1/23/2015,Blessing,,,,,371,,
phenline,"pp,non CC",TSC,EB1A,12/8/2014,12/23/2014,no,"Cranston, RI",2/13/2015,28,65,1/5/2015,1/5/2015,6/29/2015,,,,203,,94.90%,
Monsterj,"PP, non CC",TSC,EB1A,12/8/2014,12/15/2014,no,Boston,2/6/2015,22,60,12/30/2014,12/30/2014,5/4/2015,,87,125,147,,83.70%,主副同时绿
wf,non-PP,TSC,EB1A,12/8/2014,12/12/2014,No,"Baltimore, MD",2/17/2015,22,71,12/30/1214,12/30/2014,6/3/2015,,106,155,177,,90.80%,主副同时绿
anonymous,"PP, non CC",TSC,EB1A,12/4/2014,12/20/2014,No,"Baltimore, MD",2/19/2015,33,77,1/6/2015,1/6/2015,6/11/2015,,112,156,189,,93.30%,主副同时绿
ZZZaq,"pp,no CC","TSC
",EB1A,12/4/2014,12/9/2014,no,KY,2/17/2015,,75,12/27/2014,,6/3/2015,,106,,181,,92.30%,
HLJ,"N PP, N cc",TSC,EB1A,12/2/2014,12/12/2014,Yes,"Atlanta, GA",3/2/2015,20,90,12/30/2014,12/22/2014,5/8/2015,,67,137,157,,86.10%,主副同时绿
BC,Non PP,TSC,EB1A,12/2/2014,12/12/2014,Yes,FL,2/12/2015,20,98,12/29/2014,12/22/2014,5/15/2015,,92,144,164,,88.60%,主副同时绿
wendy,"PP, non CC",TSC,EB1B,11/26/2014,12/12/2014,Yes,San Francisco,3/4/2015,26,98,12/31/2014,12/22/2014,Blessing,,,,,386,,
anonymous,"PP, CC",TSC,EB1B,11/25/2014,12/5/2014,No,PA,2/3/2015,-303,70,12/23/2014,1/26/2014,Blessing,,,,,387,,
nine,PP CC,TSC,EB1B,11/25/2014,12/5/2014,NO,NJ,2/18/2015,27,85,12/22/2014,12/22/2014,3/23/2015,,33,91,118,,73.70%,主卡副卡同时绿
xiaodd,"pp,non CC",TSC,EB1A,11/25/2014,11/26/2014,No,TX,2/13/2015,45,80,1/9/2015,1/9/2015,4/8/2015,,54,89,134,,79.80%,
zhuwjth,"PP, non CC",TSC,EB1A,11/24/2014,12/4/2014,Yes,"Wheaton, MD",3/9/2015,24,105,12/22/2014,12/18/2014,Blessing,,,,,388,,
xxk,"PP, non CC",TSC,EB1A,11/24/2014,12/4/2014,No,CT,1/23/2015,28,60,12/22/2014,12/22/2014,7/1/2015,,159,191,219,,96.30%,Dependent approved same day
tzglife,"non PP, non CC",TSC,EB1A,11/24/2014,12/2/2014,NO,TX,1/31/2015,28,68,12/22/2014,12/22/2014,6/16/2015,,136,176,204,,95.30%,
Jzz,"PP, non CC",TSC,EB1A,11/20/2014,11/28/2014,No,NY,2/5/2015,32,77,12/22/2014,12/22/2014,7/1/2015,,,,223,,96.70%,
gcsy,non-pp,TSC,EB1B,11/19/2014,12/3/2014,no,CT,1/27/2015,29,69,12/18/2014,12/18/2014,4/15/2015,,78,118,147,,83.70%,主副同时批
greencm,"PP, non CC",TSC,EB1A,11/18/2014,,Yes,TX,1/23/2015,22,66,12/20/2014,12/10/2014,5/2/2015,,99,143,165,,88.80%,Dependent approved 16 days later
anonymous,"PP, CC",TSC,EB1B,11/17/2014,n/a,No,"Boston, MA",2/1/2015,22,76,12/9/2014,12/9/2014,5/5/2015,,93,147,169,,89.60%,
cold001,"N PP, N cc",TSC,EB1A,11/17/2014,,NO,"Boston, MA",,25,,12/12/2014,12/12/2014,2/9/2015,2/17/2015,,59,84,,54.80%,
Green,PP,TSC,EB1A,11/14/2014,11/30/2014,NO,Norfolk VA,1/20/2015,26,67,12/10/2014,12/10/2014,5/22/2015,,122,163,189,,93.30%,
hs,"pp, non CC",TSC,EB1B,11/12/2014,,No,NY,2/16/2015,27,96,12/9/2014,12/9/2014,8/6/2015,,,,267,,98.00%,主副同时批
aladin,"non PP, non CC",TSC,EB1A,11/12/2014,,yes,"
",1/21/2015,8,70,,11/20/2014,4/13/2015,,82,144,152,,84.50%,
tinydoubao,"pp,non-CC",TSC,EB1A,11/12/2014,,no,PA,1/23/2015,28,72,12/10/2014,12/10/2014,5/15/2015,,112,156,184,,92.50%,
piggyj,PP,TSC,EB1A,11/5/2014,,NO,PA,1/14/2015,29,70,12/4/2014,12/4/2014,1/28/2015,,14,55,84,,54.80%,"
"
Piwow,"PP, N CC",TSC,EB1A,11/4/2014,11/28/2014,NO,"NewOrleans,LA",1/29/2015,38,86,12/12/2014,12/12/2014,5/22/2015,,113,161,199,,94.30%,
crisp,"PP, N CC",TSC,EB1A,11/3/2014,11/17/2014,NO,"Charleston, WV",2/20/2015,30,109,12/3/2014,12/3/2014,8/4/2015,,,,274,,98.80%,
cooks,"PP, non CC",TSC,EB1A,11/3/2014,11/12/2014,w,NY,1/8/2015,10,66,11/24/2014,11/13/2014,2/11/2015,2/21/2015,34,90,100,,66.20%,
ZYY,"PP, non CC",TSC,EB1A,10/27/2014,11/1/2014,no,,1/15/2015,25,80,11/21/2014,11/21/2014,6/12/2015,,148,203,228,,97.10%,
Sassy,"PP,CC",TSC,EB1A,10/22/2014,10/25/2014,W,"FortWorth,TX",1/26/2015,14,94,11/10/2014,11/5/2014,Blessing,,,,,421,,
xyz,"PP, non CC",TSC,EB1A,10/20/2014,10/25/2014,W,NC,1/9/2015,11,81,11/13/2014,10/31/2014,Blessing,,,,,423,,
vampireX,"PP, non CC",TSC,EB1A,10/16/2014,10/22/2014,yes,GA,1/10/2015,35,80,11/22/2014,11/20/2014,1/27/2015,,17,68,103,,68.00%,Dependent approved on the same day. 
anonymous,"PP, non CC",TSC,EB1A,10/16/2014,10/18/2014,W,"Charleston, SC",11/8/2014,4,23,10/30/2014,10/20/2014,1/20/2015,1/28/2015,73,92,96,,64.00%,Dependent approved on the same day. 
geosky,"PP, non CC",TSC,EB1A,10/8/2014,10/15/2014,no,FL,12/23/2014,23,76,10/31/2014,10/31/2014,2/11/2015,,50,103,126,,77.40%,
eyeye,"PP, non CC",TSC,EB1B,10/2/2014,10/8/2014,W,"Dallas, TX",12/29/2014,25,88,10/31/2014,10/27/2014,Blessing,,,,,441,,
anonymous,"PP, CC",TSC,EB1B,10/2/2014,10/8/2014,no,"Baltimore, MD",12/29/2014,22,88,10/24/2014,10/24/2014,3/18/2015,3/26/2015,79,145,167,,89.00%,Dependent approved 2 days later.  485 approved 1 week after congressman office's inquiry.
lostson,"PP, CC",TSC,EB1A,9/30/2014,10/4/2014,no,"Boston, MA",12/6/2014,,67,10/21/2014,,Blessing,,,,,443,,
leafish,"PP, non CC",TSC,EB1B,9/23/2014,,W,MA,12/12/2014,22,80,10/20/2014,10/15/2014,4/20/2015,4/28/2015,129,187,209,,95.70%,Dependent approved on the same day.
prayerxu,"PP, non CC",TSC,EB1A,9/19/2014,10/2/2014,No,TX,11/29/2014,26,71,10/15/2014,10/15/2014,1/23/2015,1/30/2015,55,100,126,,77.40%,Dependent approved on the same day. 
nyxiaobao,"PP, non CC",TSC,EB1B,9/16/2014,10/2/2014,no,NJ,12/1/2014,29,76,10/15/2014,10/15/2014,7/29/2015,,240,287,316,,99.60%,Dependent approved on the same day. 
andone,"PP, non CC",TSC,EB1A,9/15/2014,9/29/2014,no,TN,,31,,10/16/2014,10/16/2014,Blessing,,,,,458,,
jade,"PP, non CC",TSC,EB1A,9/15/2014,9/22/2014,W,TX,11/23/2014,28,69,10/13/2014,10/13/2014,Blessing,,,,,458,,
BJUSA,"PP, non CC",TSC,EB1A,9/13/2014,9/25/2014,"Walk
",TX,11/23/2014,13,71,10/6/2014,9/26/2014,1/20/2015,1/28/2015,58,116,129,,78.80%,"RFE received on Dec. 31, 2014. Response received by USCIS on Jan. 5th, 2015. One of dependents received decision on the same day, but another received two days later."
DBDGY,"PP, non CC",TSC,EB1A,9/10/2014,,no,,11/29/2014,23,80,10/3/2014,10/3/2014,Blessing,,,,,463,,
wes,"pp, non CC",TSC,EB1A,9/9/2014,9/18/2014,no,"San Antonio, TX",Blessing,29,,10/8/2014,10/8/2014,Blessing,,,,,464,,
huzi,"pp, non CC",TSC,EB1B,9/5/2014,9/20/2014,no,NY,12/5/2014,34,91,10/9/2014,10/9/2014,2/25/2015,3/4/2015,82,139,173,,90.40%,副卡还没批
statfish,"PP, CC",TSC,EB1B,8/29/2014,9/12/2014,no,"NJ, Elizabeth",,24,,9/22/2014,9/22/2014,10/3/2014,10/11/2014,,11,35,,3.90%,Dependent approved on the same day. 
reborn,,TSC,NIW,8/25/2014,,no,,11/15/2014,30,81,9/24/2014,9/24/2014,Blessing,,,,,479,,
anonymous57,"pp,non cc",TSC,EB1B,8/18/2014,9/2/2014,no,"Boston,MA",11/15/2014,30,88,9/17/2014,9/17/2014,1/20/2015,12/10/2014,66,125,114,,72.30%,"副卡先批，主卡还未批,主卡1月20号批准"
Loveob,"pp,non cc",TSC,EB1B,8/11/2014,,NO,NY,10/22/2014,25,71,9/5/2014,9/5/2014,5/11/2015,,201,248,273,,98.60%,
(anonymous),"PP, CC",TSC,EB1B,7/31/2014,8/29/2014,no,,,18,,8/18/2014,8/18/2014,9/8/2014,9/15/2014,,21,39,,8.10%,
af2012,"PP, N CC",TSC,EB1A,7/24/2014,8/2/2014,W,VA,,19,,8/20/2014,8/12/2014,8/30/2014,9/10/2014,,18,37,,5.50%,
poguy,"PP, non CC",TSC,EB1A,7/22/2014,7/25/2014,no,RI,10/18/2014,29,88,8/20/2014,8/20/2014,Blessing,,,,,513,,
soyi2016,"PP, non CC",TSC,EB1A,7/21/2014,?,W,Philly,10/10/2014,53,81,8/15/2014,9/12/2014,10/23/2014,10/30/2014,13,41,92,,60.90%,Dependent approved the same day
welikeliang,"pp,non cc",TSC,EB1A,7/17/2014,7/28/2014,W,NY,10/6/2014,14,81,8/8/2014,7/31/2014,12/2/2014,,57,124,139,,80.60%,"RFE Sep/16 ， RFE responsed Sep/30, RFE recieved by USCIS on Oct/1. 485 SR on Dec1, 485 AD on 12/2. Dependent approved the same day"
cabob,pp,TSC,EB1A,7/17/2014,7/26/2014,no,FL,10/17/2014,27,92,8/13/2014,8/13/2014,1/23/2015,,98,163,186,,92.70%,Dependent is still waiting
